2023-4-12  6:30:31; VRU; 5445-2154; 163496638; %E000%; 323193
2023-4-12  16:21:9; VRU; 5367-1974; 163572360; %E000%; 323236
2023-4-13  6:31:1; VRU; 5484-2199; 163615618; %E000%; 323381
2023-4-13  6:31:11; VRU; 5501-2218; 163615795; %E000%; 323382
2023-4-13  6:31:12; VRU; 5413-2108; 163615313; %E000%; 323380
2023-4-13  11:21:0; VRU; 5591-2403; 163644148; %E000%; 323420
2023-4-14  6:30:37; VRU; 5483-2198; 163723902; %E000%; 323580
2023-4-14  6:30:38; VRU; 5232-1718; 163723351; %E000%; 323578
2023-4-18  19:50:39; VRU; 5449-2158; 164065296; %E000%; 324293
2023-4-18  21:50:49; VRU; 5452-2160; 164065556; %E000%; 324294
2023-4-18  22:10:19; VRU; 5326-1918; 164070223; %E000%; 324313
2023-4-19  12:20:53; VRU; 5478-2192; 164130195; %E000%; 324475
2023-4-19  17:50:48; VRU; 630-1087; 164162183; %E000%; 324482
2023-4-20  19:51:6; VRU; 5419-2125; 164276426; %E000%; 324673
2023-4-21  6:31:33; VRU; 5350-1942; 164327047; %E000%; 324857
2023-4-21  6:31:35; VRU; 5350-2399; 164327319; %E000%; 324858
2023-4-21  6:31:37; VRU; 5386-2038; 164327591; %E000%; 324859
2023-4-21  16:50:41; VRU; 5488-2202; 164383334; %E000%; 324925
2023-4-21  17:5:47; VRU; 5425-2131; 164386218; %E000%; 324926
2023-4-22  18:21:15; VRU; 5524-2257; 164443410; %E000%; 325085
2023-4-22  18:23:57; VRU; 5463-2175; 164443687; %E000%; 325086
2023-4-22  18:30:7; VRU; 5482-2197; 164443150; %E000%; 325084
2023-4-24  11:42:17; VRU; 5358-2421; 164538817; %E000%; 325427
2023-4-24  11:42:17; VRU; 5410-2105; 164539128; %E000%; 325428
2023-4-24  15:50:18; VRU; 5453-2161; 164575785; %E000%; 325486
2023-4-24  16:20:21; VRU; 5411-2106; 164578906; %E000%; 325487
2023-4-24  16:35:23; VRU; 5466-2177; 164579368; %E000%; 325488
2023-4-24  19:20:23; VRU; 576-1018; 164585663; %E000%; 325491
2023-4-25  6:30:53; VRU; 5494-2210; 164626893; %E000%; 325645
2023-4-25  9:35:43; VRU; 5591-2423; 164632421; %E000%; 325665
2023-4-25  16:36:15; VRU; 5437-2420; 164678614; %E000%; 325715
2023-4-25  16:50:31; VRU; 5311-1904; 164680507; %E000%; 325717
2023-4-26  6:30:51; VRU; 5428-2429; 164721285; %E000%; 325865
2023-4-26  11:50:39; VRU; 630-1088; 164741784; %E000%; 325921
2023-4-26  11:50:40; VRU; 630-1089; 164742054; %E000%; 325922
2023-4-26  11:51:38; VRU; 630-1090; 164742363; %E000%; 325923
2023-4-27  6:30:55; VRU; 5500-2216; 164824943; %E000%; 326110
2023-4-27  6:30:57; VRU; 5496-2212; 164824504; %E000%; 326108
2023-4-27  6:30:58; VRU; 5535-2268; 164825515; %E000%; 326112
2023-4-27  6:31:18; VRU; 5493-2209; 164823959; %E000%; 326106
2023-4-27  6:31:21; VRU; 5432-2138; 164823495; %E000%; 326104
2023-4-27  16:5:54; VRU; 5376-1999; 164880650; %E000%; 326180
2023-4-28  12:51:14; VRU; 5467-2178; 164965035; %E000%; 326358
2023-4-28  15:50:50; VRU; 5502-2219; 164982521; %E000%; 326361
2023-4-28  16:5:56; VRU; 5504-2221; 164982919; %E000%; 326362
2023-4-28  16:20:59; VRU; 5528-2261; 164984131; %E000%; 326363
2023-4-28  17:50:36; VRU; 5417-2123; 164991170; %E000%; 326364
2023-4-29  6:30:11; VRU; 5565-2301; 165036543; %E000%; 326531
2023-4-29  6:30:13; VRU; 5499-2215; 165036094; %E000%; 326529
2023-4-29  6:30:14; VRU; 5518-2251; 165036366; %E000%; 326530
2023-4-29  6:30:14; VRU; 5489-2203; 165035860; %E000%; 326528
2023-4-29  19:50:29; VRU; 615-1069; 165041580; %E000%; 326548
2023-4-29  21:21:6; VRU; 598-1047; 165041840; %E000%; 326549
2023-4-29  21:36:13; VRU; 5420-2126; 165042100; %E000%; 326550
2023-5-1  14:50:34; VRU; 5591-2438; 165134310; %E000%; 326908
2023-5-1  22:50:30; VRU; 5530-2263; 165147613; %E000%; 326961
2023-5-2  10:51:21; VRU; 5507-2237; 165186290; %E000%; 327094
2023-5-2  22:8:9; VRU; 622-1077; 165238449; %E000%; 327153
2023-5-3  6:30:38; VRU; 5527-2260; 165265412; %E000%; 327265
2023-5-3  11:21:3; VRU; 5591-2440; 165294924; %E000%; 327322
