2024-12-11  18:14:59; FSP; 5682634-rp3522471; 206035575; %E000%; 196
2024-12-11  18:14:59; FSP; 5682651-rp3532021; 206035891; %E000%; 199
2024-12-11  18:15:0; FSP; 5682652-rp3532021; 206035989; %E000%; 200
2024-12-11  18:15:0; FSP; 5682653-rp3532021; 206036087; %E000%; 201
2024-12-11  18:15:1; FSP; 5682661-rp3532231; 206036283; %E000%; 203
2024-12-11  18:15:57; FSP; 5682681-rp3536031; 206037204; %E000%; 209
2024-12-11  18:15:57; FSP; 5682662-rp3532231; 206036381; %E000%; 204
2024-12-11  18:15:58; FSP; 5682663-rp3532231; 206036646; %E000%; 205
2024-12-11  18:15:58; FSP; 5682664-rp3532231; 206036827; %E000%; 206
2024-12-11  18:15:59; FSP; 5682671-rp3533181; 206037008; %E000%; 207
2024-12-11  18:16:0; FSP; 5682674-rp3533181; 206037106; %E000%; 208
2024-12-11  18:16:1; FSP; 5682682-rp3536031; 206037586; %E000%; 210
2024-12-11  18:16:2; FSP; 5682683-rp3536031; 206037774; %E000%; 211
2024-12-11  18:16:58; FSP; 5682684-rp3536031; 206038309; %E000%; 213
2024-12-11  18:24:1; FSP; 5665841-353510; 206038160; %E000%; 212
2024-12-12  12:27:45; FSP; 5665842-353510; 206069845; %E000%; 214
2024-12-12  12:27:46; FSP; 5665843-353510; 206070009; %E000%; 215
2024-12-12  12:27:46; FSP; 5665844-353510; 206070122; %E000%; 216
2024-12-12  14:34:4; FSP; 5676861-354153; 206088362; %E000%; 217
2024-12-12  14:34:4; FSP; 5678811-354278; 206088656; %E000%; 220
2024-12-12  14:34:5; FSP; 5678812-354278; 206088750; %E000%; 221
2024-12-12  14:35:4; FSP; 5677721-354212; 206088460; %E000%; 218
2024-12-12  14:35:5; FSP; 5678813-354278; 206088844; %E000%; 222
2024-12-12  14:35:5; FSP; 5678814-354278; 206089032; %E000%; 223
2024-12-12  14:35:6; FSP; 5677724-354212; 206088558; %E000%; 219
2024-12-12  15:23:31; FSP; 5682004-354472; 206097940; %E000%; 237
2024-12-12  15:23:32; FSP; 5682001-354472; 206097846; %E000%; 236
2024-12-12  15:23:33; FSP; 5677441-354191; 206094812; %E000%; 224
2024-12-12  15:23:34; FSP; 5677442-354191; 206095155; %E000%; 225
2024-12-12  15:23:34; FSP; 5677443-354191; 206095476; %E000%; 226
2024-12-12  15:23:36; FSP; 5677444-354191; 206095681; %E000%; 227
2024-12-12  15:24:31; FSP; 5677454-354191; 206096793; %E000%; 231
2024-12-12  15:24:32; FSP; 5677451-354191; 206096036; %E000%; 228
2024-12-12  15:24:33; FSP; 5677452-354191; 206096185; %E000%; 229
2024-12-12  15:24:34; FSP; 5677453-354191; 206096334; %E000%; 230
2024-12-12  15:24:34; FSP; 5678241-354247; 206096943; %E000%; 232
2024-12-12  15:24:34; FSP; 5678242-354247; 206097085; %E000%; 233
2024-12-12  15:24:35; FSP; 5678243-354247; 206097179; %E000%; 234
2024-12-12  15:24:36; FSP; 5678244-354247; 206097273; %E000%; 235
2024-12-12  15:58:4; FSP; 568396-354559; 206099836; %E000%; 240
2024-12-12  15:58:5; FSP; 567769-354209; 206099547; %E000%; 238
2024-12-12  15:58:6; FSP; 568395-354559; 206099665; %E000%; 239
2024-12-12  15:59:4; FSP; 568485-354619; 206099956; %E000%; 241
2024-12-12  16:58:34; FSP; 5675751-354087; 206103236; %E000%; 242
2024-12-12  16:58:35; FSP; 5675754-354087; 206103330; %E000%; 243
2024-12-12  16:58:35; FSP; 5684091-354567; 206104877; %E000%; 248
2024-12-12  16:58:36; FSP; 5679191-354301; 206103567; %E000%; 244
2024-12-12  16:58:36; FSP; 5679192-354301; 206103704; %E000%; 245
2024-12-12  16:58:37; FSP; 5679193-354301; 206103802; %E000%; 246
2024-12-12  16:59:34; FSP; 5679194-354301; 206104043; %E000%; 247
2024-12-12  17:13:41; FSP; 5658411-353071; 206106240; %E000%; 250
2024-12-12  17:14:42; FSP; 5645691-352304; 206106107; %E000%; 249
2024-12-12  17:56:2; FSP; 5645692-352304; 206109529; %E000%; 251
2024-12-12  17:56:3; FSP; 5658412-353071; 206109915; %E000%; 254
2024-12-12  17:56:3; FSP; 5658413-353071; 206110042; %E000%; 255
2024-12-12  17:56:4; FSP; 5658414-353071; 206110151; %E000%; 256
2024-12-12  17:57:2; FSP; 5679911-354357; 206110645; %E000%; 261
2024-12-12  17:57:2; FSP; 5645693-352304; 206109623; %E000%; 252
2024-12-12  17:57:3; FSP; 5645694-352304; 206109821; %E000%; 253
2024-12-12  17:57:3; FSP; 5679914-354357; 206110739; %E000%; 262
2024-12-12  17:57:4; FSP; 5678831-354280; 206110245; %E000%; 257
2024-12-12  17:57:5; FSP; 5678841-354280; 206110339; %E000%; 258
2024-12-12  17:57:5; FSP; 5678851-354280; 206110433; %E000%; 259
2024-12-12  17:58:2; FSP; 5678861-354280; 206110551; %E000%; 260
2024-12-12  18:10:58; FSP; 5677431-354191; 206111950; %E000%; 263
2024-12-12  18:16:0; FSP; 5680463-354388; 206113146; %E000%; 265
2024-12-12  18:16:1; FSP; 5680461-354388; 206112847; %E000%; 264
2024-12-12  18:16:1; FSP; 5680462-354388; 206113529; %E000%; 267
2024-12-12  18:16:2; FSP; 5680464-354388; 206113244; %E000%; 266
2024-12-12  18:47:12; FSP; 5672692-353893; 206115402; %E000%; 269
2024-12-12  18:47:13; FSP; 5672691-353893; 206115308; %E000%; 268
2024-12-12  18:47:13; FSP; 5672693-353893; 206115496; %E000%; 270
2024-12-12  18:48:13; FSP; 5672694-353893; 206115590; %E000%; 271
2024-12-13  13:32:23; FSP; 5681271-354429; 206139461; %E000%; 272
2024-12-13  13:32:24; FSP; 568730-354717; 206141215; %E000%; 286
2024-12-13  13:32:24; FSP; 5681272-354429; 206139778; %E000%; 273
2024-12-13  13:32:25; FSP; 5681273-354429; 206139872; %E000%; 274
2024-12-13  13:32:25; FSP; 5681274-354429; 206139966; %E000%; 275
2024-12-13  13:32:26; FSP; 5681571-354451; 206140581; %E000%; 280
2024-12-13  13:32:27; FSP; 5681574-354451; 206140742; %E000%; 281
2024-12-13  13:33:23; FSP; 5681414-354438; 206140370; %E000%; 279
2024-12-13  13:33:24; FSP; 5681411-354438; 206140060; %E000%; 276
2024-12-13  13:33:24; FSP; 5681412-354438; 206140182; %E000%; 277
2024-12-13  13:33:25; FSP; 5681413-354438; 206140276; %E000%; 278
2024-12-13  13:33:25; FSP; 5684101-354568; 206140839; %E000%; 282
2024-12-13  13:33:26; FSP; 5684102-354568; 206140933; %E000%; 283
2024-12-13  13:33:27; FSP; 5684103-354568; 206141027; %E000%; 284
2024-12-13  13:33:27; FSP; 5684104-354568; 206141121; %E000%; 285
2024-12-13  15:1:42; FSP; 5685391-354644; 206151215; %E000%; 287
2024-12-13  15:42:7; FSP; 568861-354789; 206153488; %E000%; 289
2024-12-13  15:42:8; FSP; 568860-354789; 206153385; %E000%; 288
2024-12-13  16:7:23; FSP; 5667224-353592; 206155713; %E000%; 291
2024-12-13  16:7:23; FSP; 5670221-353754; 206155820; %E000%; 292
2024-12-13  16:7:24; FSP; 5670224-353754; 206155914; %E000%; 293
2024-12-13  16:7:24; FSP; 5684151-354572; 206156008; %E000%; 294
2024-12-13  16:7:25; FSP; 5684152-354572; 206156102; %E000%; 295
2024-12-13  16:7:25; FSP; 5684153-354572; 206156196; %E000%; 296
2024-12-13  16:7:26; FSP; 5684154-354572; 206156290; %E000%; 297
2024-12-13  16:7:26; FSP; 5667221-353592; 206155499; %E000%; 290
2024-12-13  16:31:34; FSP; 5666341-353546; 206158841; %E000%; 298
2024-12-13  16:32:34; FSP; 5666343-353546; 206159029; %E000%; 300
2024-12-13  16:32:35; FSP; 5666342-353546; 206158935; %E000%; 299
2024-12-13  16:32:36; FSP; 5666344-353546; 206159123; %E000%; 301
2024-12-13  16:46:43; FSP; 5682333-354488; 206163509; %E000%; 307
2024-12-13  16:46:45; FSP; 5682331-354488; 206163901; %E000%; 309
2024-12-13  16:46:45; FSP; 5682332-354488; 206163370; %E000%; 306
2024-12-13  16:47:44; FSP; 5682334-354488; 206163658; %E000%; 308
2024-12-13  16:47:45; FSP; 5682321-354488; 206162763; %E000%; 302
2024-12-13  16:47:46; FSP; 5682322-354488; 206162901; %E000%; 303
2024-12-13  16:47:47; FSP; 5682323-354488; 206162999; %E000%; 304
2024-12-13  16:47:48; FSP; 5682324-354488; 206163138; %E000%; 305
