2019-12-16  2:10:41; PPP; 7855-7855; %E000%; 0067214
2019-12-16  2:10:43; PPP; 7858-7858; %E000%; 0067217
2019-12-16  2:10:45; PPP; 7861-7861; %E000%; 0067219
2019-12-16  2:10:47; PPP; 7860-7860; %E000%; 0067218
2019-12-16  2:10:49; PPP; 7862-7862; %E000%; 0067220
2019-12-16  2:10:51; PPP; 7863-7863; %E000%; 0067221
2019-12-16  2:10:53; PPP; 7864-7864; %E000%; 0067222
2019-12-16  2:10:55; PPP; 7868-7868; %E000%; 0067224
2019-12-16  2:10:57; PPP; 7869-7869; %E000%; 0067225
2019-12-16  2:10:59; PPP; 7870-7870; %E000%; 0067226
2019-12-16  2:11:1; PPP; 7872-7872; %E000%; 0067228
2019-12-16  2:11:3; PPP; 7873-7873; %E000%; 0067229
2019-12-16  2:11:6; PPP; 7874-7874; %E000%; 0067230
2019-12-16  2:11:8; PPP; 7875-7875; %E000%; 0067231
2019-12-16  2:11:10; PPP; 7876-7876; %E000%; 0067232
2019-12-16  2:11:12; PPP; 7879-7879; %E000%; 0067234
2019-12-16  2:11:14; PPP; 7882-7882; %E000%; 0067236
2019-12-16  2:11:16; PPP; 7883-7883; %E000%; 0067237
2019-12-16  2:11:18; PPP; 7884-7884; %E000%; 0067238
2019-12-16  20:53:31; PPP; 7616-7616; %E000%; 0067427
2019-12-16  20:53:34; PPP; 7800-7800; %E000%; 0067430
2019-12-16  20:53:41; PPP; 7892-7892; %E000%; 0067451
2019-12-16  20:53:47; PPP; 7867-7867; %E000%; 0067433
2019-12-16  20:53:48; PPP; 7912-7912; %E000%; 0067491
2019-12-16  20:53:51; PPP; 7887-7887; %E000%; 0067439
2019-12-16  20:53:53; PPP; 7894-7894; %E000%; 0067457
2019-12-16  20:53:54; PPP; 7907-7907; %E000%; 0067483
2019-12-16  20:53:55; PPP; 7881-7881; %E000%; 0067436
2019-12-16  20:53:57; PPP; 7896-7896; %E000%; 0067463
2019-12-16  20:53:58; PPP; 7898-7898; %E000%; 0067469
2019-12-16  20:53:59; PPP; 7902-7902; %E000%; 0067473
2019-12-16  20:53:59; PPP; 7903-7903; %E000%; 0067475
2019-12-16  20:54:0; PPP; 7911-7911; %E000%; 0067489
2019-12-16  20:54:1; PPP; 7917-7917; %E000%; 0067497
2019-12-16  20:54:2; PPP; 7913-7913; %E000%; 0067493
2019-12-16  20:54:6; PPP; 7888-7888; %E000%; 0067442
2019-12-16  20:54:9; PPP; 7890-7890; %E000%; 0067445
2019-12-16  20:54:10; PPP; 7891-7891; %E000%; 0067448
2019-12-16  20:54:11; PPP; 7895-7895; %E000%; 0067460
2019-12-16  20:54:13; PPP; 7893-7893; %E000%; 0067454
2019-12-16  20:54:15; PPP; 7901-7901; %E000%; 0067471
2019-12-16  20:54:16; PPP; 7904-7904; %E000%; 0067477
2019-12-16  20:54:17; PPP; 7919-7919; %E000%; 0067501
2019-12-16  20:54:20; PPP; 7897-7897; %E000%; 0067466
2019-12-16  20:54:21; PPP; 7905-7905; %E000%; 0067479
2019-12-16  20:54:23; PPP; 7906-7906; %E000%; 0067481
2019-12-16  20:54:25; PPP; 7908-7908; %E000%; 0067485
2019-12-16  20:54:25; PPP; 7909-7909; %E000%; 0067487
2019-12-16  20:54:27; PPP; 7915-7915; %E000%; 0067495
2019-12-16  20:54:29; PPP; 7918-7918; %E000%; 0067499
2019-12-18  2:8:23; PPP; 7680-7680; %E000%; 0068038
2019-12-18  2:8:24; PPP; 7859-7859; %E000%; 0068039
2019-12-18  2:8:24; PPP; 7899-7899; %E000%; 0068042
2019-12-18  2:8:25; PPP; 7885-7885; %E000%; 0068040
2019-12-18  2:8:26; PPP; 7886-7886; %E000%; 0068041
2019-12-18  2:8:27; PPP; 7910-7910; %E000%; 0068043
2019-12-18  2:8:28; PPP; 7920-7920; %E000%; 0068044
2019-12-18  2:8:29; PPP; 7921-7921; %E000%; 0068045
